source	reference	greedy	beam
ڈچی آف نارمنڈی ، جسے انہوں نے فرانسیسی تاج کے ساتھ معاہدے کے ذریعہ تشکیل دیا ، قرون وسطی کے فرانس کا ایک عظیم فیوڈ تھا ، اور نارمنڈی کے <ans> رچرڈ اول </ans> کے تحت ایک مربوط اور خوفناک شہنشاہی میں تشکیل دیا گیا تھا۔	جو نورمنڈی کے ڈچی پر حکمرانی کی	کون سا گروپ نے اپنے آپ کو کس کے ساتھ ساتھ کیا؟	کون سی کمپنی نے اپنے آپوں کے ساتھ ساتھ کیا تھا؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جو <ans> کیتھولک </ans> آرتھوڈوکس کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	کس سال میں نے اپنے آپوں کے لئے ایک اپنے آپوں کے لئے کیا؟	کس صدی کے دوران کس نے اپنے آپوں کے بارے پر حملہ کیا؟
نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جس میں وہ <ans> کیتھولک آرتھوڈوکس </ans> کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	کون سا گروپ نے اپنے آپ کو کس نے کیا؟	قذافی نے کس کے ساتھ ساتھ کیا؟
نورمنڈی کا ڈچی ، جو <ans> 911 </ans> میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے بادشاہ چارلس III اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک سلطنت نیوسٹریا میں واقع تھا۔	ڈچی آف نارمنڈی کی بنیاد کب رکھی گئی تھی؟	نپولین کے طور پر کس نے کب شائع کیا؟	نپولین کے طور پر کس نے طور پر کس کے طور پر حملہ کیا؟
ڈچی آف نارمنڈی ، جو 911 میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے <ans> بادشاہ چارلس III </ans> اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک بادشاہت نیوسٹریا میں واقع تھا۔	رولو نے سینٹ کلیئر سور ایپٹ کے معاہدے پر کس کے ساتھ دستخط کیے؟	کون سا گروپ نے اپنے آپ کو کیا کہا؟	کون سی کمپنی کا نام کیا گیا تھا؟
یہ علاقہ موجودہ اپر نارمنڈی کے شمالی حصے سے نیچے دریائے <ans> سین </ans> تک تھا ، لیکن ڈچی بالآخر سین سے باہر مغرب میں پھیل جائے گی۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	نئی دہلی کے دوران کتنے لوگ رہتے تھے؟	کتنی دیر تک کتنی دیر تک پہنچ گیا تھا؟
معاہدے نے رولو اور اس کے مردوں کو مزید وائکنگ حملے کے خلاف تحفظ کے بدلے میں دریا <ans> ایپٹ </ans> اور بحر اوقیانوس کے ساحل کے درمیان فرانسیسی زمینیں پیش کیں۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	کون سا گروپ نے اپنے کے کے ساتھ ساتھ ساتھ ساتھ کیا؟	ناصر نے کس کے ساتھ ساتھ کیا؟
<ans> رولو </ans> کی آمد سے پہلے ، اس کی آبادی پکارڈی یا آئل ڈی فرانس سے مختلف نہیں تھی ، جسے فرینک سمجھا جاتا تھا۔	پہنچنے پر کس نے اصل وائکنگ آباد کاروں کو ایک مشترکہ شناخت دی؟	کون سا ملک کی سب سے پہلے کیوں کی؟	کون کی دہائی کے لئے کون تھا؟
زیادہ تر نارمن شورویروں کو غریب اور زمین کی بھوک لگی رہی ، اور 1066 تک نارمنڈی ایک نسل سے زیادہ عرصے سے <ans> لڑنے والے گھوڑوں </ans> کی برآمد کر رہا تھا۔	نارمن کی اہم برآمدات میں سے ایک کیا تھا؟	کون سے زیادہ تر لوگوں کے دوران سے زیادہ تر کیوں کیوں کی؟	کون سے زیادہ تر بچوں کی وجہ سے زیادہ کیا گیا تھا؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کون سا گروپوں کے دوران وں کے ساتھ ساتھ ساتھ کیا گیا تھا؟	کونوں نے کس قسم کے طور پر حملہ کیا؟
نارمنز نے اٹلی میں داخل ہونا شروع کرنے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، <ans> پیچنیگس ، بلغارین ، اور خاص طور پر سلجک ترکوں </ans> کے خلاف لڑتے ہوئے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کون سا گروپ نے اپنے آپ کو کیا کہا؟	ناصر نے کس قسم کے طور پر حملہ کیا؟
نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	کون سا گروپوں کے دوران وں کے ساتھ ساتھ ساتھ کیا گیا تھا؟	کونوں نے کس قسم کے طور پر حملہ کیا؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک <ans> 1050 کی دہائی </ans> میں ہروی تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	میں میں کتنے فیصد کی گئی تھی؟	کس سال میں سے زیادہ تر کیوں کی گئی تھی؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	میں میں کتنے فیصد کی گئی تھی؟	کس سال میں سے زیادہ تر کیوں کی گئی تھی؟
بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	میں میں کتنے فیصد کی گئی تھی؟	کس سال میں سے زیادہ تر کیوں کی گئی تھی؟
<ans> 1060 کی دہائی </ans> میں ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں نے کب حملہ کیا؟	کس سالوں نے پہلی بار کب حملہ کیا؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں نے نے کب حملہ کیا؟	کس سالوں نے پہلی بارے پر حملہ کیا؟
<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	کس سال میں نے نے کب حملہ کیا؟	کس سالوں نے پہلی بارے پر حملہ کیا؟
روسل ڈی بیلول نے یہاں تک کہ مقامی آبادی کی حمایت سے ایشیاء مائنر میں ایک آزاد ریاست بنانے کی کوشش کی ، لیکن اسے بازنطینی جنرل <ans> الیکسیس کومنیوس </ans> نے روک دیا۔	کون ایک آزاد ریاست کے لئے Roussel ڈی Bailleul کے منصوبوں کو برباد کر دیا؟	کون سافٹ ویئر نے اپنے آپ کو کیا کہا؟	کون سی کمپنی نے اپنے آپ کو کیا کہا؟
انہوں نے یہاں تک کہ اپنے قلعے کے نام کو اپنی نسلیت دی: <ans> افرانجی </ans> ، جس کا مطلب فرینکس ہے۔	نارمن قلعے کا نام کیا تھا؟	نے اپنے آپ کو کیا کہا جاتا ہے؟	کس نے اپنے آپ کو کیا کہا جاتا ہے کہ اس کے طور پر کیا کہا جاتا ہے؟
<ans> اورسل </ans> نامی ایک نارمن نے شمالی شام میں اوپری فرات کی وادی میں فرینکس کی ایک فورس کی قیادت کی۔	فرینکس جب فرات کی وادی میں داخل ہوئے تو ان کا رہنما کون تھا؟	کون سا نے اپنے آپ میں کی کی؟	کون سی کمپنی نے کس نے کی؟
کچھ نارمنوں نے <ans> ترکی کی افواج </ans> میں شمولیت اختیار کی تاکہ دور مشرقی اناطولیہ میں آرمینیائی وابستہ ریاستوں ساسون اور تارون کی تباہی میں مدد کی جاسکے۔	نارمنز نے اناطولیہ میں کس کے ساتھ تعاون کیا؟	کس نے اپنے آپوں میں کس کی؟	کون سے زیادہ تر کیوں کی گئی تھی؟
بازنطینی یونان کے کئی خاندان کمینیئن بحالی کی مدت کے دوران <ans> نارمن مزدور </ans> نژاد تھے ، جب بازنطینی شہنشاہ مغربی یورپی جنگجوؤں کی تلاش کر رہے تھے۔	Raouliii خاندان کی ابتداء کیا تھی؟	کے دوران کتنے لوگ مارے گئے تھے؟	کتنی دیر تک کتنے لوگ رہتے گئے تھے؟
راولی <ans> راول نامی ایک اطالوی-نورمن </ans> سے descended تھے ، پیٹرلیفی ایک پیئر ڈی اولپس سے descended تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے descended تھے جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	کون سا گروپ نے اپنے آپ کو اپنے آپ کو کیا کہا؟	کون سی کمپنی نے اپنے آپ کو کیا کہا جاتا تھا؟
راولی <ans> راول نامی ایک اطالوی-نارمن سے تعلق رکھتے تھے </ans> ، پیٹرلیفی ایک پیئر ڈی اولپس سے تعلق رکھتے تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے تعلق رکھتا تھا جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	کون سا گروپ نے اپنے آپ کو کیا کہا جاتا تھا؟	کس قسم کا نام کیا تھا؟
<ans> رابرٹ گسکارڈ </ans> ، ایک اور نارمن مہم جوئی جو پہلے اپنی فوجی کامیابیوں کے نتیجے میں اپولیا کے کاؤنٹ کی وقار کو بلند کیا گیا تھا ، نے بالآخر بازنطینیوں کو جنوبی اٹلی سے باہر نکال دیا۔	Apulia کے کاؤنٹ کا نام کیا تھا	کون سا گروپ نے اپنے آپ کو کیا کہا؟	کون سی کمپنی نے اپنے آپوں کو کیا کہا جاتا تھا؟
شہر کی گارنیشن نے فروری <ans> 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنز کے حوالے کردیا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں کتنے سال تک جاری کیا گیا تھا؟	کس سال میں کتنی دیر تک جاری کیا گیا تھا؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں نے اپنے آپ کو کیا کیا؟	کس سال میں کتنی دیر تک جاری کیا گیا تھا؟
شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں نے اپنے آپ کو کیا کیا؟	کس سال میں کتنی دیر تک جاری کیا گیا تھا؟
کروشیا اور ڈلمیٹیا کے کیتھولک شہروں کے ساتھ اتحاد کرنے کے بعد ، 1081 میں اس نے 300 بحری جہازوں میں <ans> 30،000 </ans> مردوں کی ایک فوج کی قیادت کی جو البانیہ کے جنوبی ساحل پر اتری ، والونا ، کینینا ، یریحو (اوریکومی) پر قبضہ کرلی ، اور متعدد لوٹ مار کے بعد بٹرنٹ پہنچی۔	رابرٹ کی فوج میں کتنے آدمی تھے؟	کس نے اپنے آپ کو اپنے کیوں کی؟	کتنی دیر تک جاری کی گئی تھی؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	نارمنز اور بازنطینیوں نے امن معاہدے پر کہاں دستخط کیے؟	کون سا گروپ نے اپنے آپ کے ساتھ ساتھ ساتھ ساتھ کیا؟	کون سے دو ممالک کے طور پر کس چیز سے جانا جاتا تھا؟
پہلی صلیبی جنگ کے چند سال بعد ، 1107 میں ، رابرٹ کے بیٹے <ans> بوہیمنڈ </ans> کی کمانڈ میں نارمنز والونا میں اتریں اور اس وقت کے سب سے نفیس فوجی سازوسامان کا استعمال کرتے ہوئے ڈیرراچیم کا محاصرہ کیا ، لیکن اس سے کوئی فائدہ نہیں ہوا۔	رابرٹ کا بیٹا کون تھا؟	کون سا ملک نے اپنے آپ کو کیا کہا؟	کون سے پہلے کس نے طور پر حملہ کیا گیا تھا کہ اس کے طور پر کام کیا گیا تھا؟
دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	کون سا گروپ نے اپنے آپ کے ساتھ ساتھ ساتھ ساتھ کیا؟	کون سے دو ممالک کے طور پر کس چیز سے جانا جاتا تھا؟
دریں اثنا ، انہوں نے پیٹریلا ، <ans> دریائے ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	کون سا گروپ نے اپنے آپ کے ساتھ ساتھ ساتھ کیا؟	کون سے دو ممالک کے طور پر کس چیز سے جانا جاتا تھا؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 </ans> میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کس سال میں نے اپنے پر حملہ کیا؟	نپولین نے کب حملہ کیا گیا تھا؟
بازنطینی ریاست کے مزید زوال نے <ans> 1185 میں </ans> تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	کس سال میں نے اپنے پر حملہ کیا؟	نپولین نے کس ملک کے بارے پر حملہ کیا گیا تھا؟
بازنطینی ریاست کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے <ans> ڈیرریچیم </ans> پر حملہ کیا۔	بحری اڈے کو کیا کہا جاتا تھا؟	کس نے نے اپنے آپ کو کیا کہا؟	ناصر نے کس چیز پر حملہ کیا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کون سا سب سے پہلے سب سے زیادہ مقبول تھا؟	کون سے دو سب سے پہلے کون تھا؟
کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	کون سا سب سے پہلے سب سے زیادہ مقبول تھا؟	کون سے دو سب سے پہلے کون تھا؟
اس تعلقات نے بالآخر نارمنڈی کے ڈیوک رچرڈ دوم کی بہن ایما اور انگلینڈ کے <ans> کنگ ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	کون سا گروپ نے اپنے آپ کے ساتھ ساتھ ساتھ ساتھ کیا؟	کون سی کمپنی نے کس نے کی؟
